Date;NAAIM Number;;;;;;;;;;;;;;;;;;;;;;;;
28/11/2018;53,21;;;;;;;;;;;;;;;;;;;;;;;;
5/12/2018;61,96;;;;;;;;;;;;;;;;;;;;;;;;
12/12/2018;55,51;;;;;;;;;;;;;;;;;;;;;;;;
19/12/2018;31,96;;;;;;;;;;;;;;;;;;;;;;;;
26/12/2018;47,59;;;;;;;;;;;;;;;;;;;;;;;;
2/1/2019;59,43;;;;;;;;;;;;;;;;;;;;;;;;
9/1/2019;66,8;;;;;;;;;;;;;;;;;;;;;;;;
16/1/2019;75,51;;;;;;;;;;;;;;;;;;;;;;;;
23/1/2019;72,84;;;;;;;;;;;;;;;;;;;;;;;;
30/1/2019;76,33;;;;;;;;;;;;;;;;;;;;;;;;
6/2/2019;83,39;;;;;;;;;;;;;;;;;;;;;;;;
13/2/2019;82,01;;;;;;;;;;;;;;;;;;;;;;;;
20/2/2019;77,86;;;;;;;;;;;;;;;;;;;;;;;;
27/2/2019;79,33;;;;;;;;;;;;;;;;;;;;;;;;
6/3/2019;73,9;;;;;;;;;;;;;;;;;;;;;;;;
13/3/2019;77,4;;;;;;;;;;;;;;;;;;;;;;;;
20/3/2019;78,25;;;;;;;;;;;;;;;;;;;;;;;;
27/3/2019;61,69;;;;;;;;;;;;;;;;;;;;;;;;
3/4/2019;91,92;;;;;;;;;;;;;;;;;;;;;;;;
10/4/2019;88,9;;;;;;;;;;;;;;;;;;;;;;;;
17/4/2019;93,37;;;;;;;;;;;;;;;;;;;;;;;;
24/4/2019;92,43;;;;;;;;;;;;;;;;;;;;;;;;
1/5/2019;89,8;;;;;;;;;;;;;;;;;;;;;;;;
8/5/2019;82,02;;;;;;;;;;;;;;;;;;;;;;;;
15/5/2019;72,82;;;;;;;;;;;;;;;;;;;;;;;;
22/5/2019;70,07;;;;;;;;;;;;;;;;;;;;;;;;
29/5/2019;59,69;;;;;;;;;;;;;;;;;;;;;;;;
5/6/2019;54,99;;;;;;;;;;;;;;;;;;;;;;;;
12/6/2019;74,26;;;;;;;;;;;;;;;;;;;;;;;;
19/6/2019;74,91;;;;;;;;;;;;;;;;;;;;;;;;
26/6/2019;72,28;;;;;;;;;;;;;;;;;;;;;;;;
3/7/2019;79,36;;;;;;;;;;;;;;;;;;;;;;;;
10/7/2019;87,34;;;;;;;;;;;;;;;;;;;;;;;;
17/7/2019;81,85;;;;;;;;;;;;;;;;;;;;;;;;
24/7/2019;95,75;;;;;;;;;;;;;;;;;;;;;;;;
31/7/2019;91,41;;;;;;;;;;;;;;;;;;;;;;;;
7/8/2019;56,59;;;;;;;;;;;;;;;;;;;;;;;;
14/8/2019;58,08;;;;;;;;;;;;;;;;;;;;;;;;
21/8/2019;70,18;;;;;;;;;;;;;;;;;;;;;;;;
28/8/2019;59,99;;;;;;;;;;;;;;;;;;;;;;;;
4/9/2019;56,15;;;;;;;;;;;;;;;;;;;;;;;;
11/9/2019;75,76;;;;;;;;;;;;;;;;;;;;;;;;
18/9/2019;77,09;;;;;;;;;;;;;;;;;;;;;;;;
25/9/2019;64,85;;;;;;;;;;;;;;;;;;;;;;;;
2/10/2019;57,39;;;;;;;;;;;;;;;;;;;;;;;;
9/10/2019;57,32;;;;;;;;;;;;;;;;;;;;;;;;
16/10/2019;57,08;;;;;;;;;;;;;;;;;;;;;;;;
23/10/2019;65,67;;;;;;;;;;;;;;;;;;;;;;;;
30/10/2019;88,94;;;;;;;;;;;;;;;;;;;;;;;;
6/11/2019;92,26;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2019;72,25;;;;;;;;;;;;;;;;;;;;;;;;
20/11/2019;78,23;;;;;;;;;;;;;;;;;;;;;;;;
27/11/2019;76,66;;;;;;;;;;;;;;;;;;;;;;;;
4/12/2019;77,8;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2019;78,71;;;;;;;;;;;;;;;;;;;;;;;;
18/12/2019;98,9;;;;;;;;;;;;;;;;;;;;;;;;
25/12/2019;97,44;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2020;86,99;;;;;;;;;;;;;;;;;;;;;;;;
8/1/2020;94,16;;;;;;;;;;;;;;;;;;;;;;;;
15/1/2020;89,47;;;;;;;;;;;;;;;;;;;;;;;;
22/1/2020;93,75;;;;;;;;;;;;;;;;;;;;;;;;
29/1/2020;77,07;;;;;;;;;;;;;;;;;;;;;;;;
5/2/2020;62,49;;;;;;;;;;;;;;;;;;;;;;;;
