Date;Bullish
10/9/2009;37,33%
17/9/2009;42,14%
24/9/2009;39,09%
1/10/2009;43,55%
8/10/2009;35,09%
15/10/2009;47,30%
22/10/2009;40,48%
29/10/2009;33,65%
5/11/2009;22,22%
12/11/2009;38,60%
19/11/2009;42,73%
26/11/2009;41,66%
3/12/2009;41,58%
10/12/2009;42,68%
17/12/2009;42,11%
24/12/2009;37,68%
31/12/2009;49,18%
7/1/2010;41,00%
14/1/2010;47,44%
21/1/2010;40,00%
28/1/2010;35,00%
4/2/2010;29,23%
11/2/2010;36,75%
18/2/2010;35,85%
25/2/2010;34,89%
4/3/2010;35,86%
11/3/2010;45,29%
18/3/2010;35,37%
25/3/2010;32,39%
1/4/2010;41,30%
8/4/2010;42,86%
15/4/2010;48,48%
22/4/2010;38,12%
29/4/2010;41,36%
6/5/2010;39,13%
13/5/2010;36,60%
20/5/2010;41,30%
27/5/2010;29,83%
3/6/2010;37,09%
10/6/2010;34,48%
17/6/2010;42,45%
24/6/2010;34,46%
1/7/2010;24,68%
8/7/2010;20,94%
15/7/2010;39,37%
22/7/2010;32,16%
29/7/2010;40,00%
5/8/2010;30,39%
12/8/2010;39,76%
19/8/2010;30,11%
26/8/2010;20,74%
2/9/2010;30,80%
9/9/2010;43,87%
16/9/2010;50,89%
23/9/2010;44,97%
30/9/2010;42,53%
7/10/2010;49,03%
14/10/2010;47,10%
21/10/2010;49,62%
28/10/2010;51,23%
4/11/2010;48,23%
11/11/2010;57,56%
18/11/2010;40,00%
25/11/2010;47,40%
2/12/2010;49,66%
9/12/2010;53,05%
16/12/2010;50,23%
23/12/2010;63,28%
30/12/2010;51,61%
6/1/2011;55,88%
13/1/2011;52,34%
20/1/2011;50,75%
27/1/2011;42,04%
3/2/2011;51,54%
10/2/2011;49,40%
17/2/2011;46,58%
24/2/2011;36,63%
3/3/2011;36,79%
10/3/2011;35,97%
17/3/2011;28,49%
24/3/2011;37,74%
31/3/2011;41,81%
7/4/2011;43,59%
14/4/2011;42,25%
21/4/2011;32,16%
28/4/2011;37,90%
5/5/2011;35,46%
12/5/2011;30,77%
19/5/2011;26,69%
26/5/2011;25,61%
2/6/2011;30,18%
9/6/2011;24,42%
16/6/2011;29,00%
23/6/2011;37,46%
30/6/2011;38,31%
7/7/2011;41,77%
14/7/2011;39,31%
21/7/2011;39,86%
28/7/2011;37,84%
4/8/2011;27,16%
11/8/2011;33,43%
18/8/2011;35,56%
25/8/2011;36,44%
1/9/2011;38,62%
8/9/2011;30,22%
15/9/2011;30,50%
22/9/2011;25,33%
29/9/2011;32,51%
6/10/2011;35,23%
13/10/2011;39,77%
20/10/2011;35,98%
27/10/2011;43,00%
3/11/2011;40,18%
10/11/2011;44,73%
17/11/2011;41,93%
24/11/2011;32,71%
1/12/2011;33,04%
8/12/2011;38,57%
15/12/2011;40,18%
22/12/2011;33,73%
29/12/2011;40,60%
5/1/2012;48,88%
12/1/2012;49,14%
19/1/2012;47,23%
26/1/2012;48,40%
2/2/2012;43,81%
9/2/2012;51,64%
16/2/2012;42,71%
23/2/2012;43,69%
1/3/2012;44,51%
8/3/2012;42,38%
15/3/2012;45,61%
22/3/2012;42,38%
29/3/2012;42,47%
5/4/2012;38,17%
12/4/2012;28,14%
19/4/2012;31,18%
26/4/2012;27,64%
3/5/2012;35,40%
10/5/2012;25,40%
17/5/2012;23,58%
24/5/2012;30,47%
31/5/2012;28,02%
7/6/2012;27,45%
14/6/2012;34,04%
21/6/2012;32,89%
28/6/2012;28,67%
5/7/2012;32,64%
12/7/2012;30,23%
19/7/2012;22,19%
26/7/2012;28,12%
2/8/2012;30,45%
9/8/2012;36,47%
16/8/2012;36,84%
23/8/2012;41,96%
30/8/2012;34,72%
6/9/2012;33,06%
13/9/2012;36,46%
20/9/2012;37,50%
27/9/2012;36,10%
4/10/2012;33,86%
11/10/2012;30,58%
18/10/2012;28,66%
25/10/2012;29,25%
1/11/2012;35,74%
8/11/2012;38,50%
15/11/2012;28,82%
22/11/2012;35,82%
28/11/2012;40,93%
6/12/2012;42,22%
13/12/2012;43,23%
20/12/2012;46,40%
27/12/2012;44,40%
3/1/2013;38,71%
10/1/2013;46,45%
17/1/2013;43,94%
24/1/2013;52,34%
31/1/2013;48,04%
7/2/2013;42,77%
14/2/2013;42,25%
21/2/2013;41,79%
28/2/2013;28,39%
7/3/2013;31,06%
14/3/2013;45,42%
21/3/2013;38,94%
28/3/2013;38,40%
4/4/2013;35,49%
11/4/2013;19,31%
18/4/2013;26,85%
25/4/2013;28,29%
2/5/2013;30,99%
9/5/2013;40,79%
16/5/2013;38,49%
23/5/2013;48,97%
30/5/2013;35,97%
6/6/2013;29,47%
13/6/2013;32,97%
20/6/2013;37,45%
27/6/2013;30,28%
4/7/2013;41,99%
11/7/2013;48,94%
18/7/2013;47,74%
25/7/2013;45,12%
1/8/2013;35,62%
8/8/2013;39,50%
15/8/2013;34,51%
22/8/2013;28,96%
29/8/2013;33,54%
5/9/2013;35,53%
12/9/2013;45,52%
19/9/2013;45,11%
26/9/2013;36,05%
3/10/2013;37,84%
10/10/2013;41,33%
17/10/2013;46,28%
24/10/2013;49,20%
31/10/2013;44,97%
7/11/2013;45,48%
14/11/2013;39,20%
21/11/2013;34,39%
28/11/2013;47,30%
5/12/2013;42,64%
12/12/2013;41,27%
19/12/2013;47,46%
26/12/2013;55,06%
2/1/2014;43,09%
9/1/2014;43,62%
16/1/2014;38,99%
23/1/2014;38,12%
30/1/2014;32,18%
6/2/2014;27,90%
13/2/2014;40,15%
20/2/2014;42,20%
27/2/2014;39,69%
6/3/2014;40,51%
13/3/2014;41,34%
20/3/2014;36,78%
27/3/2014;31,16%
3/4/2014;35,36%
10/4/2014;28,48%
17/4/2014;27,22%
24/4/2014;34,50%
1/5/2014;29,77%
8/5/2014;28,34%
